category,size_mb,installs,price,content_rating,reviews,update_days,num_screenshots,has_ads,is_free,rating
Health & Fitness,173.47,50000000,1.99,Teen,6549,448,1,0,0,4.1
Education,196.53,5000,4.99,Everyone,13652,697,7,1,0,4.1
Shopping,106.04,10000000,9.99,Adults only 18+,223,154,2,0,0,4.2
Auto & Vehicles,157.8,1000,0.0,Everyone 10+,20179,34,6,0,1,4.5
Music & Audio,168.24,100000,2.99,Mature 17+,3298,497,2,1,0,3.8
Sports,129.96,50000,4.99,Everyone,4436,22,6,1,0,4.5
Communication,68.41,100,4.99,Teen,556,380,5,0,0,4.0
Dating,94.53,5000000,0.99,Mature 17+,6325,148,1,0,0,4.0
Health & Fitness,171.73,500000,1.99,Mature 17+,22973,663,5,0,0,4.5
Lifestyle,60.41,100,2.99,Everyone 10+,5712,579,7,0,0,4.3
Books & Reference,184.82,5000,0.0,Everyone,28711,590,5,1,1,3.9
Auto & Vehicles,46.73,50000,0.99,Mature 17+,24249,551,5,1,0,3.9
Comics,150.15,50000,0.0,Everyone,768,677,7,0,1,4.3
Books & Reference,126.48,100000,1.99,Everyone 10+,4371,99,5,1,0,4.4
Tools,150.17,10000000,0.0,Teen,28951,641,4,1,1,4.2
Maps & Navigation,88.03,50000000,0.99,Mature 17+,363,531,4,0,0,4.1
Shopping,186.6,10000,0.0,Mature 17+,17419,271,1,0,1,4.5
Entertainment,126.86,10000,0.0,Mature 17+,28428,1,6,0,1,4.3
Health & Fitness,58.37,5000,0.0,Everyone,17662,287,1,1,1,3.7
Video Players,128.05,50000,0.0,Mature 17+,16342,180,3,0,1,4.4
House & Home,58.08,100000,0.0,Everyone,22245,256,2,0,1,4.4
Dating,59.43,5000000,2.99,Adults only 18+,13152,174,7,1,0,4.4
Health & Fitness,80.52,5000000,0.0,Adults only 18+,6601,50,4,0,1,4.9
Personalization,170.63,100,4.99,Everyone,778,532,7,1,0,4.2
News & Magazines,100.56,1000000,0.0,Adults only 18+,18612,617,1,0,1,4.3
Libraries & Demo,136.1,500000,0.0,Everyone 10+,28279,190,8,1,1,5.0
Maps & Navigation,79.0,100000,0.0,Everyone 10+,8599,43,6,1,1,4.7
Photography,53.46,1000000,0.0,Adults only 18+,9125,517,5,0,1,4.4
Shopping,190.97,1000,0.0,Teen,6196,66,4,0,1,4.6
Productivity,121.11,5000000,0.0,Everyone,23329,396,2,0,1,4.2
Tools,186.86,5000,0.0,Adults only 18+,179,251,4,0,1,4.0
House & Home,41.48,100000,4.99,Everyone,11756,128,6,0,0,4.4
Art & Design,30.23,50000,1.99,Adults only 18+,28555,697,2,1,0,3.9
Productivity,171.31,500,2.99,Everyone 10+,1307,188,3,0,0,4.2
Communication,136.5,500,9.99,Teen,38378,183,1,0,0,4.5
Education,38.13,5000000,0.0,Everyone,41184,583,6,0,1,4.9
Photography,54.6,100000,0.0,Teen,31875,578,2,1,1,4.0
Art & Design,160.33,1000000,2.99,Everyone 10+,7451,667,3,0,0,4.3
Dating,91.32,10000000,0.0,Mature 17+,5794,412,6,1,1,4.4
Photography,134.44,50000000,4.99,Mature 17+,14688,79,6,1,0,4.6
Events,64.35,1000000,2.99,Everyone,4605,19,4,0,0,4.0
Lifestyle,76.86,100000,0.0,Everyone 10+,850,478,1,0,1,3.8
Dating,198.15,10000000,0.0,Everyone,27803,45,7,1,1,4.5
Game,50.28,500000,0.0,Everyone,12090,222,7,1,1,4.5
Business,101.78,5000000,0.0,Everyone,2786,129,2,1,1,4.0
Sports,169.04,1000,0.0,Teen,223,618,6,1,1,3.8
Communication,48.61,100,0.0,Adults only 18+,15427,633,7,1,1,4.0
Education,83.63,100000,0.0,Everyone 10+,22992,230,6,0,1,4.4
Dating,123.4,500000,0.0,Teen,6243,227,2,1,1,4.1
Finance,96.76,500,0.0,Adults only 18+,1012,397,8,1,1,4.1
Game,92.44,1000000,9.99,Everyone,12551,275,7,1,0,4.1
Personalization,73.14,5000,2.99,Mature 17+,4228,138,6,1,0,4.4
Photography,117.74,5000000,0.0,Teen,1865,173,1,1,1,4.2
Parenting,125.25,10000000,4.99,Everyone 10+,8570,327,6,0,0,4.6
Social,131.0,1000000,0.0,Everyone 10+,7890,215,8,0,1,4.5
Art & Design,15.0,1000,0.0,Adults only 18+,8727,228,8,1,1,4.4
Health & Fitness,126.58,500000,2.99,Teen,20843,107,7,0,0,4.6
Beauty,190.69,10000000,0.0,Everyone,7952,159,4,1,1,4.5
Art & Design,108.66,500,1.99,Adults only 18+,27696,136,4,0,0,4.6
Business,143.34,1000,0.0,Everyone 10+,22128,30,5,0,1,4.7
Shopping,111.79,100,1.99,Teen,12636,98,8,0,0,4.6
Health & Fitness,171.09,10000,4.99,Mature 17+,702,609,6,0,0,4.2
Social,185.99,5000,0.0,Everyone,24025,523,4,1,1,4.3
Education,37.66,100,0.0,Everyone 10+,28319,342,1,0,1,4.3
House & Home,87.94,5000000,0.0,Teen,5641,168,3,1,1,4.3
House & Home,79.08,1000000,0.0,Mature 17+,8962,211,1,0,1,4.8
Shopping,81.64,50000,0.0,Everyone 10+,3959,684,2,0,1,4.2
Food & Drink,25.98,50000,0.0,Mature 17+,178,632,6,0,1,4.3
Weather,162.91,10000000,9.99,Everyone 10+,7834,185,7,1,0,3.9
Weather,8.12,500,0.99,Adults only 18+,1662,432,5,0,0,4.1
Books & Reference,106.12,100000,0.0,Adults only 18+,2430,424,5,0,1,4.3
Travel & Local,132.71,50000000,4.99,Adults only 18+,7864,39,7,0,0,4.7
Personalization,42.29,50000000,2.99,Teen,24212,387,7,1,0,4.5
House & Home,181.26,1000000,2.99,Adults only 18+,22344,451,3,0,0,4.2
Tools,167.87,50000,0.99,Teen,40252,115,7,0,0,5.0
Food & Drink,94.75,10000000,0.0,Everyone,7909,401,6,1,1,4.1
Weather,82.82,500000,0.0,Adults only 18+,9636,304,2,0,1,4.3
Communication,48.08,50000000,0.0,Teen,20719,603,7,0,1,4.8
Parenting,146.27,10000,0.0,Everyone 10+,14435,309,4,1,1,3.9
Sports,27.22,500,0.0,Teen,2423,573,7,0,1,4.1
Auto & Vehicles,136.37,5000,0.0,Teen,6093,103,4,1,1,4.4
Comics,168.65,50000000,4.99,Everyone 10+,31768,727,4,1,0,4.0
Sports,46.47,100,0.0,Teen,1896,102,1,1,1,3.8
Sports,173.42,100,2.99,Everyone 10+,2819,655,4,0,0,4.0
Music & Audio,7.63,50000,0.0,Mature 17+,6143,90,8,1,1,4.4
Travel & Local,182.64,500,0.0,Adults only 18+,33736,118,8,1,1,4.1
Events,24.55,50000,0.0,Everyone,1450,139,2,0,1,4.3
Sports,129.51,100,0.0,Teen,13411,303,5,0,1,4.2
Productivity,50.77,10000000,0.0,Everyone 10+,1700,648,1,0,1,4.4
Game,167.47,5000000,0.0,Adults only 18+,8921,517,4,1,1,3.8
Art & Design,102.95,1000,0.0,Teen,9229,209,2,1,1,3.9
Social,27.91,1000000,0.99,Adults only 18+,523,87,3,1,0,3.9
Food & Drink,114.63,500,0.0,Mature 17+,36980,319,2,0,1,4.2
Beauty,82.17,500000,0.0,Teen,19717,633,5,1,1,4.4
Comics,132.63,50000,1.99,Everyone 10+,4329,245,8,1,0,4.2
Dating,176.5,50000000,4.99,Mature 17+,1680,90,2,0,0,4.3
Social,82.47,50000,0.0,Teen,5089,478,8,1,1,4.4
Education,58.69,100000,0.0,Adults only 18+,26963,652,7,0,1,4.3
Game,3.89,10000,0.99,Mature 17+,1708,112,2,0,0,4.4
Photography,115.39,50000000,0.0,Everyone 10+,5157,394,7,1,1,4.4
House & Home,81.05,10000000,0.0,Teen,8182,240,7,1,1,3.8
Weather,75.56,5000,9.99,Adults only 18+,401,272,1,1,0,3.9
Weather,37.4,50000,0.0,Adults only 18+,3744,143,5,1,1,3.9
Photography,86.58,500000,0.0,Mature 17+,10865,719,4,0,1,3.9
Finance,196.9,5000,0.0,Teen,4698,119,7,0,1,4.1
Auto & Vehicles,60.25,10000,0.99,Adults only 18+,24531,596,7,1,0,4.1
Beauty,120.34,100000,0.0,Mature 17+,33131,251,5,0,1,4.1
Lifestyle,155.52,50000,0.0,Everyone,6991,278,3,0,1,4.6
Auto & Vehicles,150.08,5000,0.0,Adults only 18+,9112,163,6,1,1,4.5
Auto & Vehicles,66.43,5000,0.0,Mature 17+,11957,654,7,0,1,4.9
Sports,122.56,5000000,0.99,Everyone,13107,350,7,1,0,4.3
Personalization,174.38,5000,0.0,Mature 17+,784,31,5,1,1,4.0
Weather,4.07,100,0.0,Adults only 18+,662,458,1,0,1,4.0
Game,87.71,10000,0.0,Everyone,24082,91,4,1,1,4.4
Art & Design,45.63,500000,0.0,Mature 17+,2980,128,5,0,1,4.8
Medical,78.34,100000,4.99,Teen,10528,548,6,0,0,4.3
Auto & Vehicles,83.78,10000,9.99,Everyone,11759,725,7,0,0,4.4
Shopping,149.59,1000,4.99,Mature 17+,2156,509,4,0,0,4.2
Weather,19.67,10000000,0.0,Teen,17205,237,7,1,1,5.0
Comics,103.0,100,0.0,Everyone,24114,533,1,1,1,4.3
Weather,113.27,100000,0.0,Mature 17+,4032,608,7,0,1,4.7
Books & Reference,99.34,10000000,0.0,Adults only 18+,25229,51,7,0,1,5.0
Events,146.64,1000,9.99,Everyone,1014,469,2,1,0,3.6
Lifestyle,77.37,5000,0.0,Everyone,19341,388,7,1,1,4.0
Photography,189.05,10000,0.0,Teen,12264,62,6,0,1,4.7
Business,96.88,50000000,0.99,Mature 17+,10499,343,3,1,0,4.1
Comics,114.67,500000,0.0,Adults only 18+,3138,153,5,0,1,4.6
Parenting,165.28,100000,1.99,Teen,5390,654,4,1,0,3.9
Events,55.77,1000000,2.99,Everyone,28936,41,5,0,0,4.6
Libraries & Demo,15.97,10000000,0.99,Teen,7522,486,8,1,0,4.4
Game,141.85,1000,0.0,Teen,10828,678,7,1,1,4.0
Education,97.12,10000000,0.0,Teen,32959,702,1,1,1,4.0
Comics,179.4,5000000,2.99,Everyone,7539,557,2,0,0,3.8
Libraries & Demo,196.55,100,0.0,Everyone 10+,5898,720,1,0,1,3.8
Tools,80.42,100,4.99,Teen,26842,382,6,0,0,4.2
Beauty,83.67,50000000,0.0,Everyone 10+,29014,96,7,1,1,5.0
Music & Audio,82.18,5000000,9.99,Adults only 18+,5255,293,7,0,0,4.5
Medical,65.59,100,0.0,Adults only 18+,10758,235,4,1,1,4.3
Shopping,156.56,500,9.99,Adults only 18+,39800,341,5,0,0,4.1
Beauty,152.04,500,2.99,Mature 17+,685,719,7,0,0,4.0
Medical,96.25,100000,0.0,Everyone,487,538,8,0,1,4.3
Music & Audio,9.89,1000000,0.0,Everyone 10+,8722,350,4,1,1,4.0
Weather,62.6,500000,0.0,Mature 17+,4131,207,7,0,1,4.8
Communication,59.17,5000,0.99,Everyone 10+,10463,491,6,1,0,3.9
Game,162.41,500,2.99,Everyone,15461,381,6,1,0,3.7
Maps & Navigation,18.43,1000,0.0,Teen,859,141,8,1,1,3.8
Art & Design,161.33,5000000,0.0,Mature 17+,25682,599,7,1,1,4.4
Events,134.17,10000,4.99,Everyone,3890,610,1,0,0,4.4
Sports,146.76,1000000,0.0,Mature 17+,5763,23,5,1,1,3.9
Productivity,87.01,500000,0.0,Adults only 18+,4932,364,4,1,1,3.8
Personalization,136.27,50000000,0.99,Mature 17+,21979,148,5,0,0,4.6
Video Players,122.2,1000,0.0,Teen,2245,566,3,1,1,3.9
Travel & Local,154.03,1000000,2.99,Teen,349,551,1,1,0,3.6
Communication,89.91,5000000,0.0,Everyone 10+,42822,505,1,0,1,4.3
Libraries & Demo,95.09,1000,4.99,Mature 17+,47330,218,3,1,0,4.2
Shopping,129.07,5000000,0.0,Adults only 18+,3576,482,2,0,1,3.8
Auto & Vehicles,22.51,50000000,2.99,Teen,113,416,6,1,0,3.7
Art & Design,87.81,500000,0.0,Everyone 10+,12459,325,4,1,1,4.0
Finance,194.42,100,9.99,Adults only 18+,12545,489,7,0,0,4.0
Business,8.47,5000,2.99,Adults only 18+,33832,408,2,1,0,4.0
Weather,63.88,5000,0.0,Adults only 18+,4254,144,5,0,1,3.7
Education,63.51,50000,0.0,Everyone,2521,211,4,1,1,4.0
Medical,127.06,50000000,0.0,Teen,11497,666,7,0,1,4.8
Libraries & Demo,22.05,50000000,0.0,Everyone,9952,259,7,1,1,4.6
Beauty,126.08,500,9.99,Everyone,15179,227,4,0,0,4.4
Music & Audio,19.91,100000,9.99,Teen,25967,594,6,1,0,4.3
Photography,19.9,10000,0.0,Mature 17+,9845,372,8,1,1,4.2
Game,145.91,5000000,0.99,Everyone 10+,1951,391,4,0,0,3.8
Photography,65.5,50000,0.0,Teen,10939,88,3,1,1,4.0
Events,195.51,10000000,0.0,Everyone 10+,5623,400,7,1,1,4.1
Dating,8.43,50000,0.0,Mature 17+,7234,309,1,1,1,4.2
Music & Audio,89.58,50000000,0.0,Teen,38473,4,8,0,1,5.0
Productivity,23.51,10000000,0.99,Adults only 18+,9715,173,3,1,0,4.0
Productivity,70.92,50000,4.99,Teen,1945,544,3,1,0,4.0
Tools,199.65,5000000,2.99,Mature 17+,7026,226,7,1,0,4.4
Maps & Navigation,177.88,50000000,0.0,Everyone,3112,339,3,0,1,4.5
Maps & Navigation,10.62,500000,0.0,Teen,1747,206,8,0,1,4.7
Auto & Vehicles,113.09,5000000,1.99,Adults only 18+,14947,102,8,0,0,4.6
Libraries & Demo,129.92,5000,0.0,Teen,11885,58,2,1,1,4.1
Game,42.7,5000000,9.99,Everyone,8265,150,8,1,0,4.2
Books & Reference,29.88,500000,0.0,Teen,6604,252,3,1,1,4.5
Game,180.97,1000000,0.0,Adults only 18+,4667,479,1,0,1,4.2
Health & Fitness,193.79,5000,2.99,Mature 17+,1105,556,4,0,0,4.1
News & Magazines,198.39,100,0.99,Adults only 18+,4268,428,2,1,0,4.0
Music & Audio,158.16,1000,0.0,Mature 17+,21871,542,8,0,1,4.8
Dating,133.04,100,2.99,Adults only 18+,18372,524,7,1,0,4.4
Communication,69.8,100000,0.0,Everyone 10+,43044,491,6,0,1,5.0
Beauty,35.11,50000000,0.0,Teen,12808,526,3,0,1,5.0
Lifestyle,16.72,100,0.0,Teen,9680,292,3,1,1,4.4
Game,138.97,10000000,0.0,Everyone,4212,45,4,1,1,3.5
Finance,157.16,5000,4.99,Everyone 10+,960,200,4,1,0,4.0
Parenting,165.46,100,1.99,Everyone,11549,24,6,0,0,3.9
Parenting,182.84,500,0.0,Teen,8037,631,2,0,1,4.4
Travel & Local,176.11,10000000,4.99,Everyone,17079,387,6,0,0,4.3
Dating,199.95,100,0.0,Mature 17+,6369,590,6,0,1,4.0
Social,49.57,10000,0.99,Everyone 10+,50846,435,1,0,0,4.0
Social,152.9,100000,0.0,Adults only 18+,6082,242,2,0,1,4.6
News & Magazines,117.71,1000,0.0,Mature 17+,4861,203,4,1,1,3.8
Travel & Local,52.99,500000,0.99,Adults only 18+,24574,237,1,0,0,4.5
Game,196.4,10000,9.99,Everyone,6040,294,7,0,0,3.8
Sports,179.68,10000,0.0,Teen,24566,348,3,0,1,3.7
Game,26.57,10000,0.99,Mature 17+,333,87,6,0,0,4.0
Business,6.21,500000,0.99,Everyone 10+,14155,210,3,0,0,4.1
Medical,137.98,500,1.99,Adults only 18+,895,609,5,1,0,3.5
Books & Reference,121.22,500,1.99,Mature 17+,1925,2,8,0,0,3.8
Lifestyle,187.23,50000000,0.0,Teen,14451,229,4,1,1,4.3
Sports,47.57,500000,0.0,Everyone 10+,4105,410,5,1,1,4.5
Travel & Local,17.79,1000000,0.0,Everyone 10+,2835,243,2,0,1,4.0
Tools,52.58,10000000,0.0,Adults only 18+,19405,468,2,0,1,4.7
Comics,4.77,50000000,4.99,Mature 17+,35080,458,6,1,0,4.2
Photography,8.14,5000000,1.99,Mature 17+,3174,554,1,0,0,3.9
Tools,183.06,5000000,0.0,Everyone 10+,4579,213,6,0,1,4.8
Video Players,71.05,500,0.0,Everyone,15024,386,4,0,1,4.5
Game,82.75,5000,0.0,Everyone 10+,20268,412,1,0,1,4.3
News & Magazines,4.66,500000,9.99,Teen,85018,515,1,0,0,4.4
Weather,54.83,500,2.99,Mature 17+,3832,528,7,1,0,3.7
Personalization,161.14,5000,0.0,Adults only 18+,9760,388,7,1,1,4.5
Game,123.48,5000000,0.0,Mature 17+,1727,279,2,1,1,4.0
Beauty,151.0,100,0.0,Everyone 10+,4821,102,2,1,1,4.0
Maps & Navigation,90.0,500,0.0,Teen,552,589,8,1,1,4.0
Productivity,62.64,100000,0.0,Everyone,2841,390,6,0,1,4.6
Video Players,97.08,100,0.0,Mature 17+,8476,202,4,0,1,3.8
Beauty,65.29,50000000,0.99,Everyone 10+,2146,567,2,0,0,4.2
Photography,167.96,100,0.0,Everyone 10+,26420,721,4,1,1,3.8
Weather,60.24,500,0.99,Everyone 10+,14867,392,5,0,0,4.6
Parenting,132.29,5000,0.0,Teen,338,354,8,0,1,4.6
Personalization,28.26,100000,0.0,Everyone 10+,25118,593,6,1,1,4.3
Auto & Vehicles,137.69,5000,0.0,Everyone 10+,45436,235,3,1,1,3.9
Social,182.75,10000,1.99,Everyone 10+,8363,114,6,1,0,3.8
Auto & Vehicles,122.11,5000,0.0,Mature 17+,4533,67,5,0,1,3.7
Shopping,112.41,5000,9.99,Everyone 10+,3670,40,7,1,0,4.4
Lifestyle,192.26,1000000,2.99,Teen,1098,103,8,1,0,4.0
Game,125.85,50000,0.0,Mature 17+,8118,411,7,1,1,4.3
Education,52.65,50000000,0.0,Everyone 10+,617,295,2,0,1,4.4
Tools,59.19,1000,0.0,Everyone,8410,565,3,1,1,3.9
Shopping,141.36,50000,4.99,Teen,3493,564,3,1,0,3.8
Productivity,147.35,100000,1.99,Everyone,7765,37,6,1,0,3.8
Photography,61.4,100000,0.0,Teen,6503,67,6,1,1,3.9
Food & Drink,69.72,500000,0.0,Everyone,4368,403,1,1,1,4.6
Communication,198.22,5000,0.0,Everyone 10+,7144,674,3,1,1,3.7
Music & Audio,21.29,100,2.99,Everyone,7710,206,4,0,0,4.4
Art & Design,81.52,50000,0.0,Everyone,21527,341,2,0,1,5.0
Dating,13.43,500000,0.99,Teen,13152,52,7,1,0,4.1
Libraries & Demo,164.39,10000,0.0,Everyone 10+,6812,426,2,0,1,4.3
Health & Fitness,19.38,1000,0.99,Teen,28277,209,1,0,0,4.5
Finance,135.13,5000,1.99,Everyone 10+,16914,514,6,0,0,4.3
Personalization,12.24,500000,0.0,Adults only 18+,945,641,6,1,1,4.2
House & Home,134.9,50000,0.99,Mature 17+,2003,178,1,1,0,3.6
Sports,168.76,10000,0.0,Mature 17+,1022,676,2,0,1,3.6
Auto & Vehicles,80.37,1000000,0.99,Teen,4608,22,1,0,0,4.3
Weather,104.9,5000000,0.0,Everyone 10+,6865,369,3,0,1,4.8
Personalization,80.91,1000,0.99,Everyone,8420,82,7,0,0,4.6
Parenting,60.8,100000,9.99,Mature 17+,22879,164,3,1,0,3.8
Productivity,160.85,1000000,0.0,Teen,217,377,4,0,1,4.3
Parenting,55.13,10000000,0.0,Teen,6709,3,6,1,1,4.6
Parenting,144.87,10000000,4.99,Teen,6352,684,1,0,0,4.1
Comics,42.03,50000000,4.99,Everyone 10+,35358,118,2,1,0,4.4
House & Home,50.72,5000,9.99,Teen,3310,656,8,1,0,4.0
Game,67.96,5000000,2.99,Adults only 18+,1567,395,6,1,0,3.9
Dating,118.24,5000000,0.0,Everyone,1841,266,8,1,1,4.0
Business,91.43,1000,9.99,Teen,8811,435,6,1,0,3.9
Books & Reference,149.28,100,1.99,Everyone 10+,5949,682,8,1,0,3.4
Comics,43.5,1000000,0.0,Everyone,16836,725,5,1,1,4.3
Weather,3.12,100,0.0,Everyone,4684,227,2,0,1,4.3
Travel & Local,155.53,500,0.99,Mature 17+,1643,376,6,1,0,4.3
Libraries & Demo,164.51,1000000,0.0,Teen,5870,262,5,0,1,4.6
Food & Drink,12.84,10000,2.99,Teen,25751,366,5,0,0,4.3
Travel & Local,122.57,5000,4.99,Everyone 10+,6241,428,7,0,0,4.3
Medical,76.26,1000000,9.99,Adults only 18+,21522,8,4,0,0,4.6
Lifestyle,158.99,1000000,2.99,Adults only 18+,5574,41,5,0,0,4.2
Medical,175.01,500,0.0,Mature 17+,3965,257,3,0,1,3.7
Sports,170.35,1000,9.99,Adults only 18+,17893,643,8,0,0,4.2
Shopping,155.66,50000000,0.0,Everyone 10+,2817,564,3,1,1,4.3
Shopping,54.54,1000,4.99,Mature 17+,3165,102,6,0,0,4.6
Personalization,162.57,10000,2.99,Teen,613,219,4,0,0,4.4
Education,107.16,1000,0.0,Adults only 18+,2497,244,2,0,1,4.4
Finance,11.5,5000000,0.0,Everyone 10+,5714,303,2,0,1,4.1
Art & Design,91.93,50000,0.0,Everyone 10+,6121,370,6,0,1,4.0
Art & Design,188.49,500,0.0,Teen,6550,275,6,0,1,4.3
Weather,177.68,50000,9.99,Everyone 10+,7840,70,2,1,0,4.3
Productivity,21.35,50000,0.0,Mature 17+,10181,47,2,0,1,4.7
Art & Design,149.08,500,0.0,Mature 17+,2520,117,3,0,1,4.1
Libraries & Demo,161.35,50000,4.99,Everyone,11421,590,3,0,0,3.5
Business,55.01,50000,0.0,Teen,4924,517,4,0,1,3.9
Parenting,94.85,50000,9.99,Everyone 10+,15892,254,4,0,0,3.8
Tools,142.49,50000000,0.0,Adults only 18+,9776,619,4,1,1,4.3
Beauty,88.37,10000,0.0,Mature 17+,9696,173,2,0,1,4.2
Finance,23.45,100000,1.99,Teen,13881,429,2,0,0,4.1
Shopping,141.47,50000000,1.99,Teen,4860,36,3,1,0,4.4
Libraries & Demo,182.42,10000,2.99,Mature 17+,6729,407,3,0,0,4.0
Parenting,130.84,10000000,2.99,Everyone,10493,416,8,1,0,4.8
Tools,154.99,100,2.99,Teen,6569,685,1,1,0,3.6
Health & Fitness,72.31,50000000,9.99,Everyone 10+,7049,412,1,1,0,3.9
Sports,37.46,1000000,0.0,Adults only 18+,3817,488,6,0,1,3.7
Business,128.91,1000,0.0,Adults only 18+,4066,692,2,0,1,4.1
Travel & Local,66.23,500,1.99,Mature 17+,14406,321,6,1,0,4.2
Business,172.15,5000000,0.0,Teen,51,73,3,1,1,4.2
Finance,25.4,50000,9.99,Adults only 18+,1202,569,2,0,0,3.7
Libraries & Demo,87.26,500000,0.0,Teen,35667,578,6,0,1,4.2
Shopping,79.95,500,0.0,Mature 17+,2485,644,6,1,1,4.4
Shopping,187.67,5000,0.0,Everyone,6498,413,5,1,1,4.0
News & Magazines,31.47,500,0.0,Adults only 18+,22740,124,1,0,1,4.2
Game,2.96,50000000,1.99,Everyone 10+,1,385,4,1,0,4.0
Travel & Local,48.38,50000000,0.99,Mature 17+,31112,604,2,1,0,3.9
Personalization,164.24,1000000,0.0,Everyone,660,653,7,1,1,3.9
Entertainment,42.66,5000000,4.99,Everyone 10+,2249,232,5,1,0,4.5
Business,48.93,500,0.0,Everyone 10+,354,582,4,1,1,4.1
Video Players,26.85,5000000,0.0,Adults only 18+,8796,433,6,0,1,4.8
Entertainment,143.37,500,0.0,Teen,34396,491,5,0,1,4.4
Medical,14.77,10000,0.0,Mature 17+,21919,687,7,0,1,5.0
Weather,66.91,50000000,9.99,Everyone 10+,12251,86,3,0,0,4.8
Art & Design,57.22,10000,2.99,Adults only 18+,2462,30,3,1,0,4.2
Business,111.48,50000000,0.99,Everyone,24446,667,3,0,0,4.3
Books & Reference,146.35,100000,4.99,Everyone 10+,16867,200,6,1,0,4.1
Libraries & Demo,107.04,100,9.99,Everyone,3725,156,4,0,0,3.8
Photography,186.27,50000000,0.0,Mature 17+,19623,532,4,1,1,3.7
Libraries & Demo,190.34,500,0.0,Adults only 18+,25162,715,3,1,1,4.1
Auto & Vehicles,72.93,10000000,0.0,Everyone,14377,152,6,0,1,4.6
Sports,155.76,10000000,0.0,Teen,1269,77,4,1,1,4.0
Weather,148.02,50000,0.99,Everyone,49809,328,8,1,0,4.8
Social,178.7,500,0.0,Everyone,949,172,8,0,1,4.3
Music & Audio,90.14,5000,0.0,Adults only 18+,12752,405,3,0,1,4.2
Photography,106.56,5000000,0.0,Adults only 18+,1405,406,2,1,1,4.2
Finance,83.74,50000,0.0,Everyone 10+,28299,698,3,0,1,4.2
Game,170.23,50000000,0.0,Everyone,5169,362,6,1,1,4.0
Game,46.71,100000,0.0,Everyone,8597,128,1,0,1,4.5
Finance,48.7,5000000,0.0,Adults only 18+,2363,523,2,1,1,4.2
Beauty,75.15,10000,0.0,Teen,9491,336,6,0,1,4.0
Art & Design,46.84,500000,2.99,Adults only 18+,33531,693,7,0,0,4.4
Game,112.64,50000,9.99,Teen,27829,265,3,0,0,4.3
Entertainment,27.76,10000,2.99,Adults only 18+,792,195,1,1,0,4.4
Tools,64.72,5000,4.99,Mature 17+,5703,100,3,0,0,4.3
Food & Drink,182.78,50000,9.99,Everyone,3734,564,2,0,0,4.0
Finance,82.44,50000,0.0,Teen,7879,371,8,1,1,4.4
Video Players,149.9,50000,9.99,Mature 17+,21530,428,3,0,0,3.9
Auto & Vehicles,23.58,100,1.99,Teen,16112,587,8,1,0,4.7
Personalization,50.27,50000,0.0,Everyone 10+,5059,133,8,0,1,5.0
